Age,YearsOfWorking,Gender,Residence,RecentJob.Position,RecentJob.Firm,RecentJob.StartDate,RecentJob.EndDate,Position,Industry,HistoryJob1.Position,HistoryJob1.Firm,HistoryJob1.StartDate,HistoryJob1.EndDate,HistoryJob2.Position,HistoryJob2.Firm,HistoryJob2.StartDate,HistoryJob2.EndDate,EducationBackground,Major,University,ExpectedSalary.LowerLimit,ExpectedSalary.UpperLimit,RecentJob.Months,HistoryJob1.Months,HistoryJob2.Months
32,10,男,上海,（海外）实习岗位  ,  康涅狄格大学  ,2/1/2016,5/1/2016,互联网软件开发工程师,互联网/电子商务,（海外）高级软件工程师  ,  Acrovision株式会社   ,6/1/2012,5/1/2015,（海外）高级软件工程师  ,"  IBM Solution & Services (SZ) Co., Ltd (ISSC)   ",2/1/2007,5/1/2012,MBA,工商管理,康涅狄格大学,20000,24999,3,35,63
22,2,男,上海-闵行区,nodejs前端开发工程师  ,  马衡达(上海)信息技术有限公司&&GE  ,7/1/2016,,软件工程师,计算机软件,Java开发实习生  ,  安徽龙讯信息科技有限公司   ,7/1/2015,6/1/2016,,,,,本科,软件工程,安徽工业大学,6000,7999,,11,
37,15,男,上海,Assistant Vice President  ,  花旗金融信息服务(中国)有限公司  ,10/1/2015,,项目主管,银行,（海外）项目经理  ,  上海艾文普信息技术有限公司   ,11/1/2008,9/1/2015,（海外）软件工程师  ,  泰雷兹软件系统(上海)有限公司   ,11/1/2005,10/1/2008,本科,计算机科学与技术,武汉理工大学,30000,39999,,82,35
34,7,男,上海-静安区,Frontend Developer  ,  DiningCity  ,8/1/2015,,互联网软件开发工程师,餐饮业,Product Programmer  ,  EducationCity.com   ,2/1/2008,1/1/2014,,,,,本科,计算机科学,Aston University,15000,19999,,71,
27,1,男,上海-浦东新区,汽车设计工程师  ,  HAN research team  ,10/1/2015,5/1/2016,汽车设计工程师,汽车及零配件,,,,,,,,,硕士,车辆工程,HAN university of applied sciences,8000,9999,7,,
24,2,男,上海-徐汇区,软件工程师  ,  谛代信息技术（上海）有限公司  ,2/1/2017,,软件工程师,计算机软件,Web前端开发  ,  上海电鳗互动传媒   ,7/1/2015,1/1/2017,,,,,本科,材料成型及控制工程,湖南涉外经济学院,10000,14999,,18,
39,19,男,上海,软件开发部门经理  ,  瀚森信息技术（上海）有限公司  ,1/1/2011,,技术总监/经理,计算机软件,首席软件工程师  ,  鼎仁信息技术(上海)有限公司   ,2/1/2006,12/1/2010,海外软件开发经理  ,  港美纺织贸易（上海）有限公司   ,11/1/2003,2/1/2006,MBA,工商管理,新加坡南洋理工大学,50000,69999,,58,27
31,7,男,上海-虹口区,光学主管  ,  中科院上海技术物理研究所  ,6/1/2010,,科研人员,学术/科研,,,,,,,,,博士,光电子技术科学,中科院上海技术物理研究所,20000,24999,,,
33,13,男,上海,Data & Technology Associate Director  ,  上海尚扬广告有限公司  ,2/1/2015,,情报信息分析人员,公关/市场推广/会展,交付经理  ,  群邑(上海)广告有限公司   ,7/1/2011,2/1/2015,交付经理  ,  文思海辉软件技术有限公司   ,7/1/2008,7/1/2011,本科,计算机信息管理,复旦大学,30000,39999,,43,36
24,3,女,上海-徐汇区,Web前端开发  ,  科沃斯机器人有限公司  ,11/1/2014,3/1/2017,Web前端开发,互联网/电子商务,,,,,,,,,本科,软件工程,辽宁大学,10000,14999,28,,
31,10,男,上海-闵行区,高级先期制造工程师  ,  上海延锋江森座椅机械部件有限公司  ,1/1/2014,,项目管理,汽车及零配件,（海外）高级自动化工程师  ,  IPTE艾谱特（上海）工业自动化有限公司   ,8/1/2010,1/1/2014,（海外）电气工程师  ,  Dieffenbacher(上海)板机电气有限公司   ,4/1/2007,8/1/2010,本科,管理科学与工程类,Shanghai University of Engineering and Technology,25000,29999,,41,40
32,11,男,上海-浦东新区,技术总监/经理  ,  上海孝信网络科技有限公司  ,2/1/2017,,技术总监/经理,互联网/电子商务,技术总监/经理  ,  上海雷冠网络科技有限公司   ,8/1/2016,12/1/2016,技术总监/经理  ,  中商华联投资管理（北京）有限公司上海第一分公司   ,3/1/2016,8/1/2016,本科,计算机科学与技术,武汉工业学院,40000,49999,,4,5
25,1,男,上海,Web前端开发  ,  富士通集团  ,6/1/2016,12/1/2016,软件工程师,计算机软件,Web前端开发  ,  Cloudparticle Company   ,2/1/2016,5/1/2016,,,,,硕士,计算机工程,南加州大学,15000,19999,6,3,
28,3,男,上海-嘉定区,机械工程师  ,  德尔福派克电气系统  ,8/1/2015,,机械工程师,汽车及零配件,机械工程师  ,  安弗施无线射频系统（上海）有限公司   ,12/1/2014,8/1/2015,机械工程师  ,  美国东北大学   ,1/1/2012,3/1/2012,硕士,机械设计制造及其自动化,美国东北大学,15000,19999,,8,2
33,11,男,上海-普陀区,技术总监/经理  ,  大树聚（北京）网络科技有限公司  ,8/1/2016,,首席技术执行官CTO/首席信息官CIO,房地产,项目经理  ,  北航研究院   ,2/1/2015,6/1/2016,（海外）技术总监/经理  ,  鸿洋集团   ,4/1/2008,2/1/2015,本科,计算机科学与技术,温州大学,40000,49999,,16,82
23,1,男,上海,,,,,,,,,,,,,,,本科,通信工程,淮海工学院,6000,7999,,,
32,7,男,上海-闸北区,Web前端开发  ,  杭州多赢科技有限公司  ,1/1/2015,,Web前端开发,互联网/电子商务,,,,,,,,,本科,通信工程,防空兵指挥学院,10000,14999,,,
37,15,男,上海,项目经理  ,  诸葛天下（北京）信息技术股份有限公司  ,7/1/2016,,产品经理/主管,互联网/电子商务,高级项目经理  ,  Infosys   ,3/1/2011,6/1/2016,项目经理  ,  CDC 软件   ,3/1/2010,3/1/2011,本科,计算机科学与技术,中国民航学院,25000,29999,,63,12
26,4,男,上海-杨浦区,技术研发工程师  ,  上海申克机械有限公司  ,7/1/2016,,技术研发工程师,汽车及零配件,机械工程师  ,  上海机床厂有限公司   ,7/1/2013,,,,,,硕士,工程管理,东华大学,10000,14999,,,
35,16,男,上海-徐汇区,部门主管  ,  HP  ,6/1/2016,,信息技术经理/主管,计算机软件,Separation Management Office Program Manager  ,  HP   ,3/1/2015,5/1/2016,EDGE Platform Program Manager  ,  HP   ,12/1/2009,3/1/2015,本科,计算机科学与技术,上海工程技术大学,40000,49999,,14,63
34,13,男,上海,总工程师兼部门经理  ,  西门子中国  ,5/1/2010,,总监/部门经理,电气/电力/水利,（海外）电气工程师  ,  西门子德国   ,4/1/2008,4/1/2010,（海外）项目工程师  ,  AREVA (阿海珐)   ,12/1/2007,3/1/2008,硕士,电气工程及其自动化,德国奇陶/格尔利茨应用技术大学（公立大学）,40000,49999,,24,3
33,12,男,上海,研发、设计及应用工程师  ,  高田（上海）汽配制造有限公司/高田（上海）汽车安全系统研发有限公司  ,3/1/2011,,技术研发经理/主管,汽车及零配件,技术研发经理/主管  ,  ABB技术服务中心[昂踹克自动化仪表（上海）有限公司]   ,7/1/2009,2/1/2011,技术研发工程师  ,  上海自动化仪表股份有限公司自动化仪表十一厂   ,7/1/2005,7/1/2009,本科,机械设计制造及其自动化,上海理工大学,,,,19,48
31,2,男,上海-浦东新区,博士（助研）  ,  河海大学  ,9/1/2006,9/1/2015,科研人员,教育/培训/院校,学生实践  ,  兼职家教   ,9/1/2004,6/1/2005,学生实践  ,  河海大学暑期社会实践活动   ,7/1/2003,8/1/2003,博士,材料科学与工程,河海大学(211),10000,14999,108,9,1
23,3,女,上海-浦东新区,Web前端开发  ,  济南微讯网络科技有限公司  ,7/1/2015,11/1/2016,Web前端开发,计算机软件,Web前端开发  ,  北京明浩科技有限责任公司   ,7/1/2014,6/1/2015,,,,,本科,计算机科学与技术,阜阳师范学院,15000,19999,16,11,
33,12,男,上海-松江区,Sr. Software Engineer/Tech Lead  ,  欧特克(中国)软件研发有限公司  ,8/1/2005,,其他,计算机软件,,,,,,,,,本科,计算机科学与技术,西安电子科技大学,50000,69999,,,
33,8,男,上海-浦东新区,（海外）主管工程师  ,  斯凯孚（SKF）全球技术中心中国  ,11/1/2011,,机械工程师,机械/设备/重工,CAE工程师  ,  上海三一科技有限公司   ,3/1/2010,11/1/2011,机械工程师  ,  上海市质量监督检验技术研究院   ,4/1/2009,2/1/2010,硕士,机械电子工程/机电一体化,华东理工大学,,,,20,10
25,0,男,上海,移动应用开发实习生  ,  Orange  ,2/1/2016,8/1/2016,手机应用开发工程师,通信/电信/网络设备,应用测试工程师  ,  百视通网络电视技术发展有限责任公司   ,7/1/2012,1/1/2013,,,,,硕士,机械设计制造及其自动化,Ecole nationale supérieure d'Arts et Métiers,10000,14999,6,6,
29,3,女,上海-普陀区,高级软件工程师  ,  上海泛响信息技术有限公司  ,3/1/2016,8/1/2016,高级软件工程师,计算机软件,前端开发  ,  杭州薏生网络科技有限公司   ,5/1/2014,5/1/2015,,,,,本科,财政学,北京师范大学,20000,24999,5,12,
42,21,男,上海-浦东新区,软件开发经理  ,  上海毕波软件信息技术有限公司（Blackboard上海研发中心）  ,12/1/2014,,技术总监/经理,互联网/电子商务,资深软件工程师  ,  易安信信息技术研发（上海）有限公司   ,10/1/2012,3/1/2014,高级软件工程师  ,  波科医疗器械技术（上海）有限公司   ,8/1/2011,9/1/2012,硕士,工商管理,复旦大学,30000,39999,,17,13
28,5,男,上海-长宁区,Software Engineer  ,  Bleum  ,1/1/2016,7/1/2016,工厂经理/厂长,计算机软件,Engineer  ,  Servion global solutions   ,10/1/2014,10/1/2015,Software Engineer  ,  Linyi top network private limited   ,3/1/2012,7/1/2014,硕士,计算机应用,Anna university,10000,14999,6,12,28
27,6,男,上海-普陀区,Web前端开发  ,  KII China(其云软件)  ,11/1/2015,,Web前端开发,计算机软件,Web前端开发  ,  普华永道信息技术（上海）有限公司   ,2/1/2015,11/1/2015,学生实践  ,  基于GARCH模型的时间序列聚簇算法   ,6/1/2014,12/1/2014,硕士,计算机科学与技术,University of New South Wales,20000,24999,,9,6
23,2,女,上海,前端工程师  ,  太原众企百悦科技有限公司  ,4/1/2015,7/1/2016,Web前端开发,互联网/电子商务,,,,,,,,,本科,计算机网络,忻州师范学院,8000,9999,15,,
26,4,男,上海-杨浦区,Web前端开发／新媒体专员  ,  上海滩大美术馆  ,11/1/2013,,Web前端开发,非盈利机构,,,,,,,,,本科,会展经济与管理,上海师范大学,4500,5999,,,
30,2,男,上海,开发员  ,  高盛 （新泽西）  ,2/1/2015,,软件工程师,计算机软件,,,,,,,,,硕士,计算机工程,Northeastern University,15000,19999,,,
27,6,男,上海-浦东新区,高级软件工程师  ,  普华永道信息技术（上海）有限公司  ,2/1/2014,,高级软件工程师,计算机软件,软件工程师  ,  Infosys technologies(china)co.ltd   ,6/1/2011,8/1/2013,,,,,本科,电子科学与技术,Hunan Insitute of Science and Technology,20000,24999,,26,
22,1,男,南京,互联网软件开发工程师  ,  江苏欣网视讯软件科技有限公司  ,7/1/2016,,互联网软件开发工程师,互联网/电子商务,,,,,,,,,本科,软件工程,南京邮电大学,10000,14999,,,
24,0,男,鞍山,互联网软件开发工程师  ,  ExtremeReach  ,6/1/2016,8/1/2016,软件工程师,计算机软件,,,,,,,,,本科,计算机科学与技术,Chang'an University,4500,5999,2,,
29,1,男,国外,（海外）Web前端开发  ,  Counting Opinions (Squire) Ltd.  ,3/1/2016,,Web前端开发,互联网/电子商务,（海外）学生实践  ,  创意安卓编程项目   ,1/1/2015,4/1/2015,,,,,硕士,信息科学技术,加拿大多伦多大学,10000,14999,,3,
24,1,男,南京,软件工程师 实习  ,  GNS Healthcare 美国  ,1/1/2016,6/1/2016,软件工程师,计算机软件,软件工程师 实习  ,  DatingPitch 美国   ,11/1/2015,8/1/2016,软件工程师 实习  ,  易卓科技   ,6/1/2015,8/1/2015,硕士,计算机科学与技术类,美国东北大学,6000,7999,5,9,2
25,2,男,香港,数据库工程师/管理员  ,  中国移动香港  ,8/1/2016,11/1/2016,数据库工程师/管理员,计算机软件,Web前端开发  ,  CodeFreeSoft Ltd.   ,7/1/2015,8/1/2016,,,,,硕士,计算机科学,香港城市大学,10000,14999,3,13,
29,6,男,西安-雁塔区,项目经理  ,  上海华腾软件系统有限公司  ,10/1/2016,,项目经理,计算机软件,产品总监  ,  上海芯视纪有限公司   ,8/1/2015,10/1/2016,测试经理  ,  Beyondsoft Ltd.   ,8/1/2014,8/1/2015,本科,电子信息科学与技术,广西科技大学,20000,24999,,14,12
27,4,男,重庆,Web前端开发工程师  ,  freelance  ,7/1/2013,,Web前端开发,互联网/电子商务,,,,,,,,,本科,测控技术与仪器,重庆理工大学,8000,9999,,,
26,0,女,南京-秦淮区,软件开发实习生  ,  中科院电子所苏州研究院  ,7/1/2016,9/1/2016,通信技术工程师,电子技术/半导体/集成电路,实习生  ,  南京沃旭通讯实习生   ,1/1/2016,6/1/2016,,,,,硕士,通信工程,南京航空航天大学,6000,7999,2,5,
25,2,男,国外,实习测试工程师  ,  克莱姆森大学国际汽车研究中心汽车零部件测试中心  ,1/1/2016,,汽车安全性能工程师,汽车及零配件,实习工程师  ,  奥迪（中国）企业管理有限公司   ,5/1/2015,8/1/2015,,,,,硕士,车辆工程,Clemson University-International Center for Automotive Research (CUICAR),10000,14999,,3,
31,5,男,西安,软件工程师  ,  ThoughtWorks西安分公司  ,4/1/2016,,软件工程师,计算机软件,高级开发工程师  ,  IBM中国开发中心   ,3/1/2015,3/1/2016,软件工程师  ,  IBM中国开发中心实验室   ,4/1/2012,3/1/2015,硕士,自动化,西安电子科技大学,20000,24999,,12,35
25,4,男,国外,ASP.NET软件工程师  ,  Dixoft公司马来西亚  ,11/1/2013,,软件工程师,互联网/电子商务,系统分析师  ,  戴尔（马来西亚）亚太槟城公司   ,11/1/2012,11/1/2013,,,,,本科,计算机信息管理,Wawasan Open University Malaysia,15000,19999,,12,
35,10,男,国外,技术主管  ,  Daniel Wellington  ,3/1/2016,,技术总监/经理,互联网/电子商务,创始人  ,  A&J IT Solution   ,3/1/2013,,高级软件工程师  ,  Evry AB   ,11/1/2011,3/1/2016,硕士,计算机科学与技术,乌普萨拉大学,30000,39999,,,52
29,2,男,北京-海淀区,,,,,技术支持/维护工程师,计算机软件,,,,,,,,,硕士,信息与计算科学,Wuhan University,15000,19999,,,
26,4,女,杭州,Web前端开发  ,  杭州采薇贸易有限公司  ,7/1/2015,9/1/2016,Web前端开发,互联网/电子商务,Web前端开发  ,  杭州家和物联有限公司   ,3/1/2014,6/1/2015,Web前端开发  ,  天津普嘉科技发展有限公司   ,7/1/2013,1/1/2014,本科,计算机网络,天津工业大学,10000,14999,14,15,6
